website,country,company,description,location
http://www.2cimple.com,United States,2Cimple,"Get your Free Account at our booth, website or Facebook!About 2Cimple: 2Cimple is a cloud-based, self-service video platform that enables brands, agencies and publishers Advertising, Live Branded Content, Shopping, Gaming and Brand Activation solutions for mobile, social and web.Our dynamic canvas HTML5 ad formats increase viewability, engagement, leads, one-click commerce, as well as, minimizing impression and click fraud from bots enabling more than 5x higher engagements compared to industry standards through our unique campaigns. Recent campaigns include, SHARP, Colgate, Total, Cadbury, Paramount Pictures, etc. resulting between 1-4% CTR.Our simple-to-use platform consists of an ad studio, campaign management and analytics/reporting engine. In just a few minutes using drag & drop tools you can create unique IAB and Facebook newsfeed ad formats. Deliver your brand’s messages via ad tags for programmatic within IAB formats through DSPs, Facebook newsfeeds, premium publishers around their video content, and in mobile apps.The platform offers unique analytics for viewability, engagements, fraud detection, etc. in addition to the industry standard KPIs.We keep it 2Cimple. To learn more about 2Cimple, visit http://www.2cimple.com or email us at:Media Contact:           Marla Watson, Director of MarketingMarla.Watson@2cimple.com(469) 361-6656 office (817)999-5701 mobile    Copyright 2014, a2z, Inc. All rights reserved.","Richardson, TX"
www.4cinsights.com,United States,4C,"Copyright 2014, a2z, Inc. All rights reserved.","Chicago, IL"
http://www.7search.com,United States,7Search.com,"7Search is a PPC Search Engine Advertising Network.The top 3 reasons advertisers choose 7Search.com: Quality traffic - Our Fraud Detection Methodology has been a top priority and point of concentration since our inception in 1999. We have turned down known traffic providers due to poor quality. We want to provide the highest ROI possible, even if that means having a lower search volume.    Customer Support – 7Search’s dedication to client relations is second to none.  We are experts at pay per click and want you to be too.  We spend a great deal of time with every new advertiser to educate them on how to best create campaign tiles, descriptions and keyword bids and will continue to be that support system for the duration of the relationship.   Transparent & Lower Cost Per Customer Acquisition – We want you to know what you are paying to gain a new prospect.  And that amount shouldn’t be unattainable.  Advertisers will know exactly what to bid for a click to their website making it simple to determine how much to budget.  Plus, our tools are easy and intuitive to us.    Take advantage of 7Search’s network to drive new traffic to your online business today!Copyright 2014, a2z, Inc. All rights reserved.","Des Plaines, TX"
http://99designs.com/go/adtech,United States,99designs,"99designs is excited to be a part of ad:tech San Francisco!99designs, the world’s largest graphic design marketplace, has helped over 300,000 businesses access quality design at an affordable price.99designs pioneered crowdsourced design contests, where businesses receive a wide variety of design concepts and choose their favorite, and expanded to provide services for customers to work with individual designers, purchase design templates from the ready-made logo store, or get small tasks done within an hour through Tasks. With more than 1 million designers from 250 countries around the world, 99designs’ suite of services helps businesses succeed through great design created by a robust community of talented graphic designers. Brands: www.99designs.com 
Copyright 2014, a2z, Inc. All rights reserved.","Oakland, CA"
http://www.acquisio.com,Canada,Acquisio,"Thanks for checking Acquisio, the PPC Management SoftwareAcquisio is a high-powered performance media solution that enables digital marketers to optimize their search campaigns and report on all PPC initiatives including social, mobile, and display, all in one easy-to-use dashboard.Acquisio’s best-in-class technology is enhanced by the company’s outstanding support team of real people: Account Managers, Account Analysts, and the Acquisio Trading Desk.The comprehensive and user-friendly Acquisio model ensures campaign managers maintain full control over every aspect of their online marketing initiatives, while maximizing their productivity.With more than 500 agencies and 25,000+ advertisers in its portfolio, Acquisio is recognized as being one of the fastest growing companies in North America. Acquisio software is used by companies like GroupM, Sensis, Hanapin Marketing, iRep, Yellow Pages, Microsoft, and Hilton.With its headquarters in Montreal, Acquisio has offices in New York, Seattle, London, and Tokyo.Copyright 2014, a2z, Inc. All rights reserved.","Brossard, QC"
http://www.activeprospect.com,United States,ActiveProspect,"Our mission at ActiveProspect is to help companies efficiently and safely scale their lead generation campaigns. We allow marketers to automate their unique processes for acquiring qualified sales leads and building accurate email subscriber lists. We process millions of leads per month on behalf of some of the world’s biggest brands. Unlike standalone data verification and enhancement services, ActiveProspect enables users to combine unlimited services in a single integration and create complex rules-based lead flows. Founded in 2004, ActiveProspect is headquartered in Austin, Texas.  Learn more at www.activeprospect.com. Brands: LeadConduit, TrustedForm, SuppressionListCopyright 2014, a2z, Inc. All rights reserved.","Austin, TX"
http://www.ad.net,United States,ad.net,"Ad.net is one of the largest, most trusted, and highly regarded advertising platforms. Our network provides advertisers a variety of ad formats, enhanced exposure, increased reach, and improved conversion. Each month, Ad.net reaches 100 million prospective customers through a network of 100+ traffic sources. Ad.net offers an assortment of channels to reach potential customers. Ad.net ensures all campaigns receive the highest quality traffic.Copyright 2014, a2z, Inc. All rights reserved.","Los Angeles, CA"
http://www.adbeat.com,United States,Adbeat,"Adbeat is a competitive intelligence service that will allow you to dominate your market with display advertising.  View competitors winning ad copy, best website placements, and landing pages. See what your competitors are doing on over 80 ad networks, direct buys, and in 14 countries. Find your competitor’s advertising strategy at a glance on 100,000+ websites. Adbeat competitive intelligence helps you to spend smarter.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.adforce.com,United States,ADFORCE,"Adforce.com provides digital marketing services to brands looking to speak to premium audiences across mobile, tablet and desktop.Providing exclusive access to New York’s premium digital display network of over 700 premium newspaper publishers. Reaching targeted local community and ethnic audiences across the state on mobile, tablet and desktop inventory.Our media planning and campaign management teams ensure your message engages your target audience.Our award winning creative development team build innovative and engaging digital ad creative for leading global and local brands.Founded in 2009 by industry veterans, Adforce.com operates in the United States, and Europe with offices in New Jersey, Ireland and Belgium. Copyright 2014, a2z, Inc. All rights reserved.","Little Ferry, NJ"
http://tryadhawk.com,United States,AdHawk,"AdHawk is the easiest way to manage digital advertising across multiple channels. It aggregates cross-channel advertising data into a single mobile app and web dashboard that updates in real-time and makes intelligent, actionable recommendations based on observed performance.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.adloox.com,United Kingdom,Adloox SAS,"Copyright 2014, a2z, Inc. All rights reserved.",NA
http://www.adqvideo.com/,United States,AdQ by IVA,"AdQ is the first video ad platform exclusively designed for publishers. The platform is unique in that it will be the first to let publishers determine the optimum ad fill against their goals for site traffic. Advertiser platforms focus exclusively on matching the ads to audiences. The result is that video publishers lose revenue due to poor ads or they lose audience because of ads that took too long to load, or never loaded at all.AdQ is an automated platform that balances a site’s user experience with a publisher’s desire to increase revenue from their video ads. AdQ records player events in real time and measures which ad performs best with users as well as what is earning the most on a publisher’s available inventory. AdQ looks at earned revenue based on CPM and fill rates for each ad and then automatically delivers the ad that is best for both users and publishers. Lastly, it creates an AdQ “Score”: a quantifiable grade that publisher can use to quickly judge how well their ads are performing.AdQ is powered by Internet Video Archive, the world’s largest online distributor of movie and TV trailers. IVA’s expertise with online trailers in conjunction with continuing innovation have combined to keep IVA the industry leader in trailer distribution.  Copyright 2014, a2z, Inc. All rights reserved.","Haddon Heights, NJ"
http://www.adsage.com,China,adSage,"This year adSage is at booth 1536, make sure to stop by!Founded in 2007 by some ex-Microsoft architects, adSage has six branches in the U.S. and China, employing over 600 professionals, and managing over 1,000 global advertisers' campaign on search engine and mobile devices in China. We provide the following services:• Search Engine Marketing and Optimization (SEM and SEO) --- adSage is the largest SEM agency in China and the largest reseller of Baidu in North America. adSage has its own tracking and optimization technologies to support clients getting the best ROI on paid search campaign.• Mobile Advertising Network and Agency --- mobiSage is the most influential mobile advertising network in China. It has over 400 million daily impressions, and reaching over 50 million unique users.• Software Development Services --- adSage has been a technical partner with Microsoft BingAds, Yahoo Display Ads and Baidu SEM for many years. We have mature technologies and experiences to develop all kinds of advertising related editing and analytic tools.   Brands: adSage is a technical oriented advertising agency with full scale of services on Search Engine Marketing and Mobile Advertising in China.Copyright 2014, a2z, Inc. All rights reserved.","Golden Valley, Beijing"
http://www.adsgo.com,United States,adsGO,"""Intelligent Yield Optimization Technology""Brands: adsGOCopyright 2014, a2z, Inc. All rights reserved.","Melville, NY"
http://www.adsnative.com,United States,AdsNative,"AdsNative is the modern ad stack for savvy publishers. Digital advertising has become cluttered with interruptive ad experiences delivered by outdated technology. Our end-to-end monetization software allows publishers and developers to sell unique ad formats that flow seamlessly into content. AdsNative’s pioneering technology provides open & flexible APIs such as ‘server-side stitching’ which integrates ad-serving directly into a publisher’s CMS. We also streamline integration of tag/SDK based ad networks, and optimize revenue from direct and indirect revenue streams. Lastly, marketers can traffic content driven advertising across 1,000+ premium publishers through our programmatic exchange. Learn more at www.adsnative.comBrands: AdsNative is the modern ad stack for savvy publishers. Our end-to-end monetization software allows publishers and developers to sell unique ad formats that flow seamlessly into content.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://3dx.adsoptimal.com,United States,AdsOptimal,"Copyright 2014, a2z, Inc. All rights reserved.","Millbrae, CA"
http://www.adsperity.com,United States,Adsperity," We have one driving philosophy — MOBILE ROI OR DIE.  It drives every decision we make. It's why we built Adsperity from the ground up to be a data-driven, DIY, hassle-free platform for the creation of successful mobile advertising.It's why we lead with analytics so your mobile ads can be as effective as possible. But we also made sure ad creation and publishing were easy and seamless, so you can make on-the-fly changes and traffic them to your ad server.Copyright 2014, a2z, Inc. All rights reserved.","Austin, TX"
http://www.advertise.com,United States,Advertise.com,"Advertise.com is the premier advertising platform for Contextual PPC, Display, Mobile, Video, and Remarketing traffic, enabling advertisers to reach a wider audience through our exclusive network of publisher properties. Founded in 2001, Advertise.com continues to “redefine the Ad Network” – connecting thousands of advertisers with millions of consumers every day. 

Our mission is to provide advertisers with high-quality traffic that converts, and publishers with competitive listings that yield high revenues. Using our patented ClickShield fraud protection software, Advertise.com guarantees high-quality traffic for both advertisers and publishers.Copyright 2014, a2z, Inc. All rights reserved.","Sherman Oaks, CA"
http://www.redbooks.com,United States,Advertising REDBOOKS," Are you in New Business?  Ad Sales?  Corporate Partnerships?Forget the exhaustive searches on Google or LinkedIn to find your Agency and Marketer connections.REDBOOKS is the resource used by thousands in your space, because it has the targeted information you need: Agency Relationships, Accounts, Brands and the People behind them.  More than 200,000 key contacts from 25,000 companies and agencies, with direct emails, competitive intelligence and more.  Fresh, relevant contacts with context.  You'll find it all at REDBOOKS.com! Copyright 2014, a2z, Inc. All rights reserved.","SUMMIT, NJ"
http://www.afftrack.com,United States,Afftrack,"Copyright 2014, a2z, Inc. All rights reserved.","Spring Hill, FL"
http://www.airpush.com,United States,Airpush,"Ranked #2 in the 2014 Forbes list of “Most Promising Companies” and winner of the “Top Innovator in Advertising Data” award at the 2014 DataWeek Conference, Airpush is on a mission to redefine mobile advertising. More than 150,000 apps and the world’s leading advertisers rely on Airpush to deliver the industry’s highest performance, driven by exceptional ad formats and targeting technology. Founded in 2010 by mobile advertising veterans, the company has approximately 250 employees and offices in Los Angeles and Bangalore, along with sales regions in all major markets. For more information, visit www.airpush.com or follow us on Twitter @AirpushAds.Copyright 2014, a2z, Inc. All rights reserved.","Denver, CO"
http://www.open.com,United States,American Express OPEN,"  Business Cards from American Express OPEN provide access to tools that can help you move your business forward. Stop by our booth to speak with a Business Consultant about the right Card for your business and apply for a Card today.  Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.anodot.com,United States,Anodot,"In Ad-tech, every minute translates into tens of thousands of dollars. Using Automated Anomaly Detection system, Anodot gives you the crucial insights you need in real-time. Learn immediately if your key indicators are under or over performing: for example, click rates, impressions and bid duration for every combination of campaign, publisher, advertiser, ad exchange and more. Using patented machine learning algorithms, Anodot isolates issues in your data and correlates them across multiple parameters in real time, supporting rapid business decisions through its uncovered insights. Copyright 2014, a2z, Inc. All rights reserved.","Sunnyvale, CA"
www.argomarketinggroup.com,United States,"Argo Marketing Group, Inc.","Copyright 2014, a2z, Inc. All rights reserved.","Lewiston, ME"
http://www.audiencexpress.com,United States,AudienceXpress,"AudienceXpress is the leading programmatic TV platform, which automates planning, buying, optimization, and daily reporting of linear TV campaigns across a national footprint. The application of advanced audience data maximizes the value of TV inventory, and enhances media buying based on the efficiency of reaching a target audience. 

As a licensee of Visible World technology, AudienceXpress has access to Gateways deployed at scale for dynamic ad insertion across MVPDs. Partnerships with leading data providers make it possible to generate viewership data, precisely target specific audiences, and guarantee delivery as committed. Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.brafton.com,United States,Brafton,"Brafton is a news and content marketing agency. Full-time, in-house content writers and graphic designers create exclusive content targeting clients’ unique audiences, keywords and business goals. Account managers provide consultancy on SEO-friendly content marketing strategies to engage social audiences, drive relevant website traffic and optimize for conversions. Custom analytics reporting ensures the most effective strategies for maximum results. Brafton serves clients throughout North America from offices in Boston, Chicago and San Francisco.Copyright 2014, a2z, Inc. All rights reserved.","Boston, MA"
http://brax.io,United States,Brax,"Brax unifies paid content distribution across Outbrain, Taboola, Content.ad and Gravity with bulk ad creation, unified reporting and custom campaign optimization rules.Brands: Outbrain, Taboola, Content.Ad, GravityCopyright 2014, a2z, Inc. All rights reserved.","San Diego, CA"
http://www.briteverify.com,United States,BriteVerify Email Verification,"BriteVerify is the global leader in email verification.BriteVerify is the industry leader in email verification and delivers the industry’s simplest, fastest and most affordable real-time email verification platform. Designed for any company that builds and maintains an email marketing database, BriteVerify provides a reliable safeguard against sending messages to invalid email addresses, a process that can significantly reduce marketing campaign ROI and damage a company’s sender reputation. BriteVerify requires no contracts, no set up fees and with no monthly minimum, customers only pay for what they use.  BriteVerify is the only email verification platform to be TRUSTe Certified, so you know your data is always safe with us.  BriteVerify works with consumer, business and International email addresses. Copyright 2014, a2z, Inc. All rights reserved.","Charlotte, NC"
http://buzztala.com,United States,"Buzztala, LLC","  We are the first Organic Video Marketplace. Buzztala blends Paid and Organic Search into a new product search ad unit that is delivering awesome ROI for clients, especially in mobile.Buzztala’s PVA (Product Video Ad) units are short video product summaries presented by our demographically-appropriate hosts that capture first page search positions and produce industry leading CTRs (click through rates). With our technology platform and presenter network Buzztala can produce videos featuring real people at scale for millions of products.Search advertising is dominated by Google and Bing which offer retailers two main products — text ads and Shopping ads (formerly PLAs). Buzztala produces short (30 second) hosted video product summaries that are published to leading video sites like YouTube and Dailymotion. Since Google and Bing both give prominent search result placement to video these reviews generally surface on the first page of product search results for many keywords. Buzztala PVAs are outperforming Google PLAs by more than 3X.Pricing is transparent and there are no long-term contracts. You only pay for the most qualified clicks. So ask us how you can get a healthier search mix with video ads.Find out more here: www.buzztala.com  Brands: Buzztala Organic Video MarketplaceCopyright 2014, a2z, Inc. All rights reserved.","New York, NY"
http://www.getCAKE.com,United States,CAKE,"CAKE provides a SaaS-based solution for advertisers, publishers and networks to track and manage their digital spend in real-time. With its multi- channel hub, CAKE is filling a crucial void for marketers at a time when the world of online advertising continues to grow more complex. The company’s multi-channel, enterprise suite of tools makes it easy for marketers to collect vast volumes of rich click-forward data, such as conversion information, landing page data, and impression traffic for display campaigns. By providing one place to track, manage and optimize attribution data, CAKE empowers its users with fundamental new ways to maximize value from digital media campaigns while integrating with existing marketing technology investments. Only CAKE offers everything needed for a complete view of the digital customer journey, from acquisition to conversion.Copyright 2014, a2z, Inc. All rights reserved.","Newport Beach, CA"
http://calltrackingmetrics.com,United States,Call Tracking Metrics,"Copyright 2014, a2z, Inc. All rights reserved.","Severna Park, MD"
http://www.cambridgecommerce.com,United States,Cambridgecommerce,"CambridgeCommerce is a high risk payment processor.CambridgeCommerce, a payment processor, is experienced in building brands using the affiliate market as a tool. Partnership is our philosophy because we take your company and its performance personally. Customer service means providing high-quality proactive support to ensure that you’re running at peak performance. Value is not just having competitive rates and fees but also making sure that your risk factors remain low to reduce costs. Success is not getting the most credit cards to clear; it is getting the highest number of sales with the optimal net income. Let CambridgeCommerce build your brand using the effectiveness of the Affiliate market. Brands: Cambridgecommerce uses a partnership philosophy to help you quickly grow your brand in the Affiliate space, with our value add being high risk payment processing.Copyright 2014, a2z, Inc. All rights reserved.","Vista, CA"
http://www.capitalnumbers.com,India,Capital Numbers,"Capital Numbers offers In-Demand Skills, On-Demand. We got a team of 275+ in-house Designers, Developers and Online Marketing Experts whom you can hire to work exclusively for you. We're an ISO 9001 Certified, D&B Registered and a Certified Google Partner, which basically means we have the big thumbs up from the internet.With our services you're able to hire dedicated remote specialists on a monthly rolling contract, who work exclusively for you for 8 hours a day (Monday to Friday) and for all intents and purposes function as your extended team (but in India).Our services include:1. Web Developers (PHP, / RoR / .NET)
2. Designers ( Web / Graphic / Print)
3. CMS (WordPress / Drupal / Joomla / Magento)
4. Mobile App Developers (iOS / Android)
5. SEO and PPC SpecialistsUsing Capital Numbers, youíll be able to communicate on Skye or G+ Hangouts as you like it, pay monthly and feel the joy of no hidden costs. Plus the pricing is affordable at $1600 to $2500 per month (for 160 hours). Our team of 270+ professionals are serving some prominent clients like Fool.com, Harvard University, Thomson Rueters, CondÈ Nast, Matches Fashion, Doosan, My Pay Network and Ordina.In a nutshell, If you’re looking for a responsible and sincere partner to help you understand and execute your web or mobile app development project of the highest quality  – then – we are the right team for you.Copyright 2014, a2z, Inc. All rights reserved.","Kolkata, WB"
http://www.capitalone.com/tradeshows,United States,Capital One Spark Card,"Get unlimited 2% cash back with the Capital One Spark Business Card. Apply today at Booth # 706  and earn a one time bonus of $500 after spending $4,500 on qualified purchases in the first 3 months. Brands: Capital One Spark Business CardCopyright 2014, a2z, Inc. All rights reserved.","Richmond, VA"
http://catalogs.com,United States,CATALOGS.COM,"Catalogs.com – after 18 years online - is the largest catalog portal service and lead generation website, connecting with shoppers via desktop, iPad and smartphoneOur patent-pending Dynalog platform delivers a dynamic, interactive, digital catalog that allows any business or organization to quickly and affordably create a visually engaging product catalog without a PDF or print catalog. It delivers a next-generation digital catalog offering a superior “discovery” shopping experience across all platforms.Catalogs.com gives 750,000 shoppers every month special savings, free shipping and promotions at more than 700 brand name and specialty retailers in 35 product categories.Our priorities:• Stay on the cutting edge of tech with e- and m-commerce solutions for desktop, smartphone and iPad
• Provide a unique and unparalleled catalog shopping experience for consumers with both recognized and niche retailers
• Provide immense growth, super-qualified lead generation and increased web traffic with constant innovation Brands: The comprehensive Catalogs.com website and patent-pending Dynalog dynamic catalogs for desktop and iPad provide shopping access via web, iPad and mobile phone platforms.Copyright 2014, a2z, Inc. All rights reserved.","Fort Lauderdale, FL"
http://www.cellotapesmartproducts.com/,United States,Cellotape Smart Products,"Leveraging Cellotape Inc.'s 60 years of global expertise in the printing and manufacturing industry and utilizing their far reaching capabilities, Cellotape Smart Products has quickly become a leader in the technology space for over 5 years. Specializing in creating custom engineered products that integrate NFC and RFID, allows for two-way communicaUttions between devices, frictionless mobile engagement and easy access to the cloud, Cellotape Smart Products brings the Internet of Things to life by giving any physical object a digital life. Copyright 2014, a2z, Inc. All rights reserved.","Fremont, CA"
http://www.centro.net,United States,Centro,"Centro (www.centro.net) is creating a platform to make digital advertising easier. Its enterprise-class software centralizes, organizes and automates all digital media campaigns across all channels, accessing both guaranteed and biddable inventory, to achieve any objective. Our holistic approach gives advertisers a single system of record to fulfill their research, planning, buying, optimization, reporting and reconciliation needs. Since 2001, Centro has successfully planned and executed more than 250,000 campaigns across all digital display platforms and ad format types. Headquartered in Chicago with 32 offices in North America, Centro has received numerous accolades for its commitment to employees and workplace culture.  Copyright 2014, a2z, Inc. All rights reserved.","NY, NY"
http://certainsource.com,United States,CertainSource,"CertainSource is the B2C funnel acquisition management and email retargeting solution for global B2C consumer brands looking to grow their customer and prospect email lists to generate more conversions and revenue. It is the only solution that automates lead source optimization across all channels, improving performance and accelerating speed to market. Funnel management enables marketers to manage 1000’s of lead sources simultaneously to be sure they are spending their budget on the top performing sources in each channel.  Marketers trust CertainSource to use email to retarget prospects who abandon the funnel before they convert, driving revenue without increasing their media spend. Together, these products dramatically improve ROI for B2C brands’ customer acquisition budgets. CertainSource has operations in Connecticut and North Carolina. For information, please visit http://www.certainsource.com/, follow us on Twitter @CertainSource or join the conversation on the CertainSource blog.Copyright 2014, a2z, Inc. All rights reserved.","Fairfield, CT"
http://www.chargebackgurus.com,United States,Chargeback Gurus,"Chargeback Gurus exists to help online merchants like you fight back against costly, time-consuming chargebacks—and win. We have been leading the charge against chargebacks for over 11 years and won over 83% chargebacks for our clients.We understand why chargebacks occur, how to prevent ecommerce fraud, how to respond to chargebacks and recover our clients’ lost revenue.Our knowledge and experience have helped us develop unique and effective strategies that minimize the incidence of chargebacks for our clients while maximizing the chances of winning chargebacks.Today, as both a Experienced E-commerce Chargeback Specialist and Experienced E-commerce Fraud Prevention Specialist, we utilize our 10+ years of industry experience to help online merchants like you to save time and energy and significantly reduce the costs associated with chargebacks.Visit us at booth 326 to find out how we can recover your lost revenue or call us at 866 999 3758.Brands: We do not just fight chargebacks. We identify the root causes of chargebacks & create 360-degree bulletproof solutions to prevent fraud & reduce chargebacks. Call 866 999 3758 or Visit us @ booth 326.Copyright 2014, a2z, Inc. All rights reserved.","Allen, TX"
http://chargebacks911.com,United States,Chargebacks 911,"Chargebacks911 was developed specifically for merchants to offer immediate aid through our own technology and provide the necessary function that gives merchants the freedom to do what they do best; obtain new customers and fully monetize the ones they have - allowing them to focus on their core competency and optimize their in-house skill set.Copyright 2014, a2z, Inc. All rights reserved.","Clearwater, FL"
http://clearcode.cc/,United States,Clearcode,"Clearcode specializes in building custom analytics and enterprise-grade SaaS platforms for the advertising and marketing industries.
We have built up a strong reputation as a trusted Technology Partnerby sharing our clients’ vision, goals, and determination to succeed.
Our passion for technology is present in everything we do – from understanding our clients’ requirements and creating the MVP, to our proactive and agile software development approach, through to executing the application’s release and beyond.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
